a52dec 0.7.4-9
aalib 1.4rc5-12
accounts-qml-module 0.7-1
accountsservice 0.6.45-1
acl 2.2.52-4
acpi_call-dkms 1.1.0-91
adwaita-icon-theme 3.26.1-1
akonadi 17.12.0-1
akonadi-calendar 17.12.0-1
akonadi-calendar-tools 17.12.0-1
akonadi-contacts 17.12.0-1
akonadi-import-wizard 17.12.0-1
akonadi-mime 17.12.0-1
akonadi-notes 17.12.0-1
akonadi-search 17.12.0-1
akonadiconsole 17.12.0-1
akregator 17.12.0-1
alsa-lib 1.1.5-1
analitza 17.12.0-1
appstream 0.11.7-1
appstream-glib 0.7.4-1
appstream-qt 0.11.7-1
arc-kde 20171109-1
archlinux-appstream-data 20171217-1
archlinux-keyring 20171213-1
ark 17.12.0-1
artikulate 17.12.0-1
aspell 0.60.6.1-5
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
attica-qt5 5.41.0-1
attr 2.4.47-3
audiocd-kio 17.12.0-1
audiofile 0.3.6-4
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-2
avogadrolibs 1.90.0-6
awesome-terminal-fonts 1.1.0-1
baloo 5.41.0-1
baloo-widgets 17.12.0-1
bash 4.4.012-2
bbswitch-dkms 0.8-97
binutils 2.29.1-1
bison 3.0.4-3
bluedevil 1:5.11.5-1
bluez 5.48-1
bluez-libs 5.48-1
bluez-qt 5.41.0-1
boost-libs 1.65.1-2
breeze 5.11.5-1
breeze-gtk 5.11.5-1
breeze-icons 5.41.0-1
btrfs-progs 4.14-2
bumblebee-status-git r752.1a507ec-2
bzip2 1.0.6-6
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.34.1-1
ca-certificates-utils 20170307-1
cairo 1.15.10-1
calendarsupport 17.12.0-1
cantarell-fonts 1:0.0.25-3
cantor 17.12.0-1
capstone 3.0.4-5
cdparanoia 10.2-5
celt 0.11.3-3
cervisia 17.12.0-1
cfitsio 3.420-1
chemical-mime-data 0.1.94-8
chromaprint 1.4.2-1
cifs-utils 6.7-2
colord 1.4.1+6+gf08c25d-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-10
confuse 3.2.1-1
convertlit 1.8-7
coreutils 8.28-1
cracklib 2.9.6-1
cronie 1.5.1-1
cryptsetup 2.0.0-2
curl 7.57.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.12.2-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.1-1
desktop-file-utils 0.23-1
device-mapper 2.02.177-1
dhclient 4.3.6-4
dhcpcd 6.11.5-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
ding-libs 0.6.0-1
discover 5.11.5-1
djvulibre 3.5.27-3
dkms 2.5-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-4
dolphin 17.12.0-1
dolphin-plugins 17.12.0-1
dosfstools 4.1-1
double-conversion 3.0.0-1
dragon 17.12.0-1
dri2proto 2.8-2
dri3proto 1.0-1
drkonqi 5.11.5-1
e2fsprogs 1.43.7-1
ebook-tools 0.2.2-4
eclipse-common 4.7.2-1
eclipse-java 4.7.2-1
editorconfig-core-c 0.12.1-2
efibootmgr 15-1
efivar 32-1
enchant 2.1.2-3
eventviews 17.12.0-1
exiv2 0.26-2
exo 0.11.5-1
expat 2.2.5-1
faac 1.29.7.7-1
faad2 2.8.5-1
fakeroot 1.22-1
farstream 0.2.8-1
feh 2.23-1
ffmpeg 1:3.4.1-1
ffmpeg2.8 2.8.13-3
ffmpegthumbs 17.12.0-1
fftw 3.3.7-1
file 5.32-1
filelight 17.12.0-1
filesystem 2017.10-2
findutils 4.6.0-2
firefox 57.0.3-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.4-1
fluidsynth 1.1.6-5
fontconfig 2.12.6+5+g665584a-1
fontsproto 2.1.3-2
frameworkintegration 5.41.0-1
freeglut 3.0.0-2
freetype2 2.8.1-1
fribidi 0.19.7-1
fuse-common 3.2.1-1
fuse2 2.9.7-4
gamin 0.1.10-8
garcon 0.6.1-1
gawk 4.2.0-2
gc 7.6.0-1
gcab 0.7+16+g4bc4be1-1
gcc 7.2.1-2
gcc-libs 7.2.1-2
gconf 3.2.6-5
gcr 3.20.0+55+g470bf4c-1
gd 2.2.5-1
gdb 8.0.1-1
gdb-common 8.0.1-1
gdbm 1.13-1
gdk-pixbuf2 2.36.11-1
geoclue2 2.4.7-1
gettext 0.19.8.1-2
ghostscript 9.22-6
giflib 5.1.4-1
git 2.15.1-2
glew 2.1.0-1
glib-networking 2.54.1-1
glib2 2.54.2-2
glibc 2.26-8
glproto 1.4.17-1
glu 9.0.0-4
gmp 6.1.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-mime-data 2.18.0-7
gnome-themes-standard 3.22.3+13+ga993fdc0-1
gnu-netcat 0.7.1-6
gnupg 2.2.4-1
gnutls 3.5.16-1
gpgme 1.10.0-1
gpm 1.20.7-8
gptfdisk 1.0.3-1
grantlee 5.1.0-1
grantlee-editor 17.12.0-1
grantleetheme 17.12.0-1
graphene 1.6.0-1
graphite 1:1.3.10-1
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-4
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsl 2.4-1
gsm 1.0.17-1
gssproxy 0.6.2-1
gst-plugins-bad 1.12.4-1
gst-plugins-base 1.12.4-1
gst-plugins-base-libs 1.12.4-1
gst-plugins-good 1.12.4-1
gstreamer 1.12.4-1
gtk-update-icon-cache 3.22.26+47+g3a1a7135a2-3
gtk-xfce-engine 2.10.1-1
gtk2 2.24.31-1
gtk3 3.22.26+47+g3a1a7135a2-3
gtksourceview3 3.24.6-1
guile 2.2.3-1
guile2.0 2.0.14-1
gwenview 17.12.0-1
gzip 1.8-2
harfbuzz 1.7.4-1
harfbuzz-icu 1.7.4-1
hicolor-icon-theme 0.17-1
hspell 1.4-1
hunspell 1.6.2-1
hwids 20171003-1
hyphen 2.8.8-1
i3-gaps 4.14.1-2
i3blocks 1.4-6
i3lock 2.10-1
i3status 2.11-3
iana-etc 20170824-1
icu 60.2-1
id3lib 3.8.3-16
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 7.0.7.19-1
imlib2 1.4.10-1
incidenceeditor 17.12.0-1
inetutils 1.9.4-5
iniparser 4.1-1
inputproto 2.3.2-1
intel-ucode 20171117-1
iproute2 4.14.1-2
iptables 1.6.1-2
iputils 20161105.1f2bb12-2
iso-codes 3.76-1
iw 4.9-2
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.14-1
jdk9-openjdk 9.u181-4
jemalloc 1:5.0.1-3
jfsutils 1.1.15-4
jre9-openjdk 9.u181-4
jre9-openjdk-headless 9.u181-4
js 24.2.0-4
json-c 0.13-1
json-glib 1.4.2-1
juk 17.12.0-1
k3b 1:17.12.0-1
kaccounts-integration 17.12.0-1
kaccounts-providers 17.12.0-1
kactivities 5.41.0-1
kactivities-stats 5.41.0-1
kactivitymanagerd 5.11.5-1
kaddressbook 17.12.0-1
kalarm 17.12.0-1
kalarmcal 17.12.0-1
kalgebra 17.12.0-1
kalzium 17.12.0-1
kamera 17.12.0-1
kapptemplate 17.12.0-1
karchive 5.41.0-1
kate 17.12.0-1
kauth 5.41.0-1
kbd 2.0.4-1
kbookmarks 5.41.0-1
kbproto 1.0.7-1
kbruch 17.12.0-1
kcachegrind 17.12.0-1
kcalc 17.12.0-1
kcalcore 17.12.0-1
kcalutils 17.12.0-1
kcharselect 17.12.0-1
kcmutils 5.41.0-1
kcodecs 5.41.0-1
kcolorchooser 17.12.0-1
kcompletion 5.41.0-1
kconfig 5.41.0-1
kconfigwidgets 5.41.0-1
kcontacts 17.12.0-1
kcoreaddons 5.41.0-1
kcrash 5.41.0-1
kcron 17.12.0-1
kdav 17.12.0-1
kdbusaddons 5.41.0-1
kde-cli-tools 5.11.5-1
kde-dev-scripts 17.12.0-1
kde-dev-utils 17.12.0-1
kde-gtk-config 5.11.5-1
kde-syndication 17.12.0-1
kdebugsettings 17.12.0-1
kdeclarative 5.41.0-1
kdecoration 5.11.5-1
kded 5.41.0-1
kdeedu-data 17.12.0-1
kdegraphics-mobipocket 17.12.0-1
kdelibs4support 5.41.0-1
kdenetwork-filesharing 17.12.0-1
kdenlive 17.12.0-1
kdepim-addons 17.12.0-1
kdepim-apps-libs 17.12.0-1
kdepim-runtime 17.12.0-1
kdeplasma-addons 5.11.5-1
kdesdk-kioslaves 17.12.0-1
kdesdk-thumbnailers 17.12.0-1
kdesu 5.41.0-1
kdf 17.12.0-1
kdiagram 2.6.0-1
kdialog 17.12.0-1
kdnssd 5.41.0-1
kdoctools 5.41.0-1
keditbookmarks 17.12.0-1
keepassx2 2.0.3-1
kemoticons 5.41.0-1
keyutils 1.5.10-1
kfilemetadata 5.41.0-1
kfind 17.12.0-1
kfloppy 17.12.0-1
kgamma5 5.11.5-1
kgeography 17.12.0-1
kget 17.12.0-1
kglobalaccel 5.41.0-1
kgpg 17.12.0-1
kguiaddons 5.41.0-1
khelpcenter 17.12.0-1
kholidays 17.12.0-1
khotkeys 5.11.5-1
khtml 5.41.0-1
ki18n 5.41.0-1
kiconthemes 5.41.0-1
kidentitymanagement 17.12.0-1
kidletime 5.41.0-1
kig 17.12.0-1
kimagemapeditor 17.12.0-1
kimap 17.12.0-1
kinfocenter 5.11.5-1
kinit 5.41.0-1
kio 5.41.0-1
kio-extras 17.12.0-1
kirigami2 5.41.0-1
kitemmodels 5.41.0-1
kitemviews 5.41.0-1
kiten 17.12.0-1
kjobwidgets 5.41.0-1
kjs 5.41.0-1
kjsembed 5.41.0-1
kldap 17.12.0-1
kleopatra 17.12.0-1
klettres 17.12.0-1
klickety 17.12.0-1
kmag 17.12.0-1
kmail 17.12.0-1
kmail-account-wizard 17.12.0-1
kmailtransport 17.12.0-1
kmbox 17.12.0-1
kmenuedit 5.11.5-1
kmime 17.12.0-1
kmod 24-1
kmousetool 17.12.0-1
kmouth 17.12.0-1
kmplot 17.12.0-1
knetattach 5.11.5-1
knewstuff 5.41.0-1
knotes 17.12.0-1
knotifications 5.41.0-1
knotifyconfig 5.41.0-1
kolourpaint 17.12.0-1
kompare 17.12.0-1
konqueror 17.12.0-1
konsole 17.12.0-1
kontact 17.12.0-1
kontactinterface 17.12.0-1
korganizer 17.12.0-1
kpackage 5.41.0-1
kparts 5.41.0-1
kpeople 5.41.0-1
kpimtextedit 17.12.0-1
kplotting 5.41.0-1
kpty 5.41.0-1
kqtquickcharts 17.12.0-2
krb5 1.16-1
krdc 17.12.0-1
krfb 17.12.0-1
kross 5.41.0-1
kross-interpreters 17.12.0-1
kruler 17.12.0-1
krunner 5.41.0-1
kscreen 5.11.5-1
kscreenlocker 5.11.5-1
kservice 5.41.0-1
ksmtp 17.12.0-2
ksshaskpass 5.11.5-1
ksysguard 5.11.5-1
ksystemlog 17.12.0-1
kteatime 17.12.0-1
ktexteditor 5.41.0-1
ktextwidgets 5.41.0-1
ktimer 17.12.0-1
ktouch 17.12.0-1
kturtle 17.12.0-1
kuiserver 5.11.5-1
kunitconversion 5.41.0-1
kvantum-qt5 0.10.5-1
kvantum-theme-arc 20171109-1
kwallet 5.41.0-1
kwallet-pam 5.11.5-1
kwalletmanager 17.12.0-1
kwave 17.12.0-1
kwayland 5.41.0-1
kwayland-integration 5.11.5-1
